Name,Top Prize,Ticket Price
CA$H MONEY,"$5,000,000",$20
$500 A WEEK FOR LIFE,$500 Week For Life,$1
"$1,000 A WEEK FOR LIFE",$1000 A Week For Life,$2
"$2,500 A WEEK FOR LIFE",$2500 A Week For Life,$5
"$5,000 A WEEK FOR LIFE",$5000 A Week For Life,$10
"$10,000 A WEEK FOR LIFE","$10,000 Week For Life",$20
LOTERIA®,"$50,000",$2
SUMMER CASH,"$5,000",$1
JAWS,"$50,000",$2
"GUY HARVEY © $1,000,000 FLORIDA BIG BILLS","$1,000,000",$5
SCORCHING HOT 7S,"$2,000,000",$10
ADD IT UP,"$50,000",$2
TREASURE HUNT,"$150,000",$3
MONEY MATCH,"$1,000,000",$5
QUICK $100S,"$50,000",$2
"$25, $50, OR $100",$100,$5
5 TIMES LUCKY,"$1,000,000",$5
"$25,000,000 GOLD RUSH MULTIPLIER","$25,000,000",$50
"$10,000 GOLD RUSH MULTIPLIER","$10,000",$1
"$100,000 GOLD RUSH MULTIPLIER","$100,000",$2
"$1,000,000 GOLD RUSH MULTIPLIER","$1,000,000",$5
"$2,000,000 GOLD RUSH MULTIPLIER","$2,000,000",$10
2025,"$50,000",$2
PLATINUM MINE 9X,"$1,000,000",$5
ULTIMATE VIP CA$HWORD,"$2,000,000",$10
"$5,000 HOLIDAY BLOWOUT","$5,000",$1
"$25,000 HOLIDAY BLOWOUT","$25,000",$2
"$100,000 HOLIDAY BLOWOUT","$100,000",$5
"$500,000 HOLIDAY BLOWOUT","$500,000",$10
THE PERFECT GIFT,"$5,000,000",$20
FIND THE 7S,"$50,000",$2
DOUBLE YOUR MONEY,"$1,000,000",$5
SILVER STREAK,"$2,000,000",$10
GOLD RUSH MULTIPLIER,"$15,000,000",$30
FAST LOOT,"$5,000",$1
THE CASH WHEEL,"$1,000,000",$5
TRIPLE JACKPOT,"$2,000,000",$10
MONOPOLY™ SECRET VAULT,"$10,000",$1
MONOPOLY™ SECRET VAULT,"$100,000",$2
MONOPOLY™ SECRET VAULT,"$1,000,000",$5
MONOPOLY™ SECRET VAULT,"$2,000,000",$10
MONOPOLY™ SECRET VAULT,"$5,000,000",$20
$100 LOADED,"$5,000",$1
EASY MONEY,"$50,000",$2
UNO™,"$150,000",$3
MILLIONAIRE MAKER,"$1,000,000",$5
DOUBLE IT,"$5,000",$1
WIN WIN WIN,"$50,000",$2
LOTERIA™ GRANDE,"$1,000,000",$5
GOLD RUSH LEGACY,"$10,000,000",$20
LUCKY GREEN,"$50,000",$2
JEOPARDY!,"$1,000,000",$5
BONUS LETTER CROSSWORD,"$1,000,000",$5
TRIPLE 777,"$2,000,000",$10
10X THE CASH,"$10,000",$1
20X THE CASH,"$100,000",$2
50X THE CASH,"$1,000,000",$5
100X THE CASH,"$2,000,000",$10
500X THE CASH,"$25,000,000",$50
BINGO NIGHT,"$150,000",$3
EMERALD MINE 9X,"$500,000",$5
"$2,000,000 100X CASHWORD","$2,000,000",$10
"$10,000 TRIPLE MATCH","$10,000",$1
"$50,000 TRIPLE MATCH","$50,000",$2
"$2,000,000 TRIPLE MATCH","$2,000,000",$10
FAST BUCKS,"$5,000",$1
ACES AND 8S,"$50,000",$2
HIT AND WIN!,"$500,000",$5
"$5,000,000 TRIPLE MATCH","$5,000,000",$20
$50 FRENZY,$50,$1
CASH DROP,"$50,000",$2
THE GAME OF LIFE™,"$500,000",$5
$5MM CROSSWORD CASH,"$5,000,000",$20
"$50,000 A YEAR FOR LIFE","$50,000/Year For Life",$2
"$250,000 A YEAR FOR LIFE","$250,000/Year For Life",$10
TRIPLE GOLDEN CHERRIES,"$500,000",$5
LOTERIA™,"$50,000",$2
CASH ON THE SPOT,"$5,000",$1
THE PRICE IS RIGHT™,"$1,000,000",$5
"$1,000,000 A YEAR FOR LIFE SPECTACULAR","$1,000,000/Year For Life",$50
$1 GOLD RUSH DOUBLER,"$10,000",$1
$2 GOLD RUSH DOUBLER,"$100,000",$2
$5 GOLD RUSH DOUBLER,"$1,000,000",$5
LUCKY NUMBERS,"$500,000",$5
FLORIDA 10X THE CASH,"$10,000",$1
FLORIDA 300X THE CASH,"$15,000,000",$30
"$5,000 CROSSWORD","$5,000",$1
BINGO DOUBLER,"$150,000",$3
MYSTERY MULTIPLIER,"$1,000,000",$10
BONUS CASH,"$50,000",$2
20X THE CASH,"$100,000",$2
50X THE CASH,"$1,000,000",$5
GOLD RUSH LIMITED,"$5,000,000",$20
TRIPLE CROSSWORD,"$150,000",$3
CROSSWORD CASH,"$500,000",$5
"$50,000 FLAMINGO MULTIPLIER","$50,000",$2
